Overs,0,1,2,3,4,5,6,7,8,9,10
50,100.0,93.4,85.1,74.9,62.7,49.5,36.9,25.2,15.2,7.6,2.5
49,99.4,92.9,84.7,74.6,62.5,49.4,36.8,25.2,15.2,7.6,2.5
48,98.8,92.4,84.2,74.2,62.2,49.2,36.7,25.1,15.1,7.5,2.5
47,98.1,91.8,83.7,73.8,61.9,49.0,36.5,25.0,15.0,7.5,2.5
46,97.4,91.2,83.1,73.3,61.5,48.7,36.3,24.8,14.9,7.4,2.4
45,96.7,90.5,82.5,72.8,61.1,48.4,36.1,24.7,14.8,7.4,2.4
44,96.0,89.9,82.0,72.3,60.7,48.1,35.9,24.5,14.7,7.3,2.4
43,95.2,89.2,81.3,71.8,60.2,47.7,35.6,24.3,14.6,7.3,2.4
42,94.4,88.4,80.7,71.2,59.8,47.3,35.3,24.2,14.5,7.2,2.4
41,93.6,87.7,80.0,70.6,59.3,47.0,35.1,24.0,14.4,7.2,2.4
40,92.8,86.9,79.3,70.0,58.8,46.6,34.8,23.8,14.3,7.1,2.3
39,91.9,86.1,78.5,69.3,58.2,46.1,34.4,23.6,14.1,7.0,2.3
38,91.0,85.2,77.8,68.6,57.6,45.7,34.1,23.3,14.0,7.0,2.3
37,90.1,84.4,77.0,68.0,57.1,45.3,33.8,23.1,13.9,6.9,2.3
36,89.1,83.5,76.2,67.3,56.5,44.8,33.5,22.9,13.7,6.8,2.3
35,88.1,82.6,75.4,66.5,55.9,44.3,33.1,22.7,13.6,6.8,2.2
34,87.1,81.6,74.5,65.8,55.3,43.9,32.8,22.4,13.4,6.7,2.2
33,86.0,80.6,73.6,65.0,54.6,43.3,32.4,22.2,13.3,6.6,2.2
32,84.9,79.6,72.7,64.2,54.0,42.8,32.0,21.9,13.1,6.5,2.2
31,83.7,78.5,71.7,63.4,53.3,42.3,31.6,21.6,13.0,6.5,2.1
30,82.5,77.4,70.7,62.5,52.6,41.7,31.2,21.4,12.8,6.4,2.1
29,81.3,76.2,69.6,61.6,51.8,41.1,30.7,21.1,12.6,6.3,2.1
28,80.0,75.0,68.5,60.6,51.0,40.5,30.3,20.7,12.4,6.2,2.0
27,78.7,73.8,67.4,59.6,50.2,39.8,29.8,20.4,12.2,6.1,2.0
26,77.3,72.5,66.2,58.6,49.3,39.2,29.3,20.1,12.0,6.0,2.0
25,75.9,71.2,65.0,57.5,48.4,38.5,28.8,19.7,11.8,5.9,1.9
24,74.4,69.8,63.8,56.4,47.5,37.7,28.2,19.3,11.6,5.8,1.9
23,72.9,68.4,62.5,55.3,46.6,37.0,27.7,19.0,11.4,5.7,1.9
22,71.3,66.9,61.1,54.1,45.6,36.3,27.1,18.6,11.1,5.5,1.8
21,69.7,65.4,59.7,52.9,44.6,35.5,26.6,18.2,10.9,5.4,1.8
20,68.0,63.8,58.3,51.6,43.5,34.6,25.9,17.8,10.6,5.3,1.7
19,66.3,62.2,56.8,50.3,42.4,33.8,25.3,17.3,10.4,5.2,1.7
18,64.5,60.5,55.3,49.0,41.3,32.9,24.6,16.9,10.1,5.0,1.7
17,62.6,58.8,53.7,47.6,40.2,32.0,24.0,16.4,9.8,4.9,1.6
16,60.7,57.0,52.0,46.1,39.0,31.1,23.3,16.0,9.6,4.8,1.6
15,58.8,55.1,50.4,44.6,37.8,30.1,22.6,15.5,9.3,4.6,1.5
14,56.7,53.2,48.6,43.1,36.5,29.1,21.8,15.0,9.0,4.5,1.5
13,54.6,51.2,46.8,41.5,35.2,28.1,21.1,14.5,8.7,4.3,1.4
12,52.4,49.2,45.0,39.9,33.9,27.0,20.3,13.9,8.3,4.2,1.4
11,50.2,47.1,43.1,38.2,32.5,25.9,19.5,13.4,8.0,4.0,1.3
10,47.9,45.0,41.1,36.5,31.0,24.8,18.6,12.8,7.7,3.8,1.3
9,45.5,42.7,39.1,34.7,29.5,23.6,17.7,12.2,7.3,3.6,1.2
8,43.0,40.4,37.0,32.9,28.0,22.4,16.8,11.6,6.9,3.5,1.1
7,40.4,38.0,34.8,30.9,26.4,21.1,15.9,10.9,6.5,3.3,1.1
6,37.8,35.5,32.5,28.9,24.7,19.8,14.9,10.2,6.1,3.1,1.0
5,35.0,32.9,30.2,26.9,23.0,18.4,13.9,9.5,5.7,2.9,0.9
4,32.1,30.2,27.7,24.7,21.2,17.0,12.8,8.8,5.3,2.6,0.9
3,29.1,27.4,25.1,22.4,19.2,15.4,11.6,8.0,4.8,2.4,0.8
2,25.9,24.4,22.4,20.0,17.2,13.8,10.4,7.2,4.3,2.1,0.7
1,22.5,21.2,19.5,17.4,15.0,12.1,9.1,6.3,3.8,1.9,0.6
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
